Day,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%)
1/1/2009,40.1,34.5,44,27
2/1/2009,52.8,37.5,43,16
3/1/2009,41.2,6.7,89,35
4/1/2009,19.4,0,79,35
5/1/2009,30.3,15.1,56,13
6/1/2009,29.5,19.7,57,27
7/1/2009,39.1,27.3,86,46
8/1/2009,51.3,36.9,53,28
9/1/2009,41.5,19.2,82,27
10/1/2009,31.9,22.5,48,29
11/1/2009,36.3,26,52,29
12/1/2009,31.6,16.1,87,41
13-01-2009,38,28.5,54,34
14-01-2009,39.3,28.7,53,34
15-01-2009,43.6,27.9,59,28
16-01-2009,53,32.1,46,14
17-01-2009,54.1,28.1,28,11
18-01-2009,52.9,27.3,27,8
19-01-2009,57.5,36.9,39,7
20-01-2009,61,16.1,69,4
21-01-2009,55.7,41.6,19,6
22-01-2009,52.3,38.9,63,17
23-01-2009,38.9,12.8,89,63
24-01-2009,47.8,13.1,92,40
25-01-2009,39.6,5.2,92,45
26-01-2009,11.4,-3.1,79,65
27-01-2009,19.7,-11.2,76,25
28-01-2009,27,15.7,57,31
29-01-2009,30,15.9,58,27
30-01-2009,46.2,27.9,46,22
31-01-2009,45.1,29,32,14
1/2/2009,38.3,25.3,48,12
2/2/2009,40.3,26,46,25
3/2/2009,48.1,31.9,52,19
4/2/2009,55.8,27.6,28,7
5/2/2009,53.7,34.2,27,10
6/2/2009,44.6,20.7,90,27
7/2/2009,43.6,23.3,89,35
8/2/2009,50,21.1,83,27
9/2/2009,38.4,26,88,31
10/2/2009,33.5,14.8,88,36
11/2/2009,30.2,10.7,74,36
12/2/2009,35.9,11.4,81,25
13-02-2009,29.4,11.7,87,54
14-02-2009,31.5,12.3,87,43
15-02-2009,35.7,16.9,80,17
16-02-2009,46.1,34.4,41,15
17-02-2009,37.2,26.9,81,27
18-02-2009,35.5,24.2,55,26
19-02-2009,34.9,22.1,52,23
20-02-2009,37.9,12.8,83,13
21-02-2009,50.8,8.4,80,15
22-02-2009,54.2,34.1,28,10
23-02-2009,53.3,38.3,68,27
24-02-2009,50.4,37.3,61,30
25-02-2009,56.3,33.5,85,13
26-02-2009,43.1,28.2,88,24
27-02-2009,34,18.8,79,25
28-02-2009,42.9,16.3,50,10
1/3/2009,58.3,14.1,53,9
2/3/2009,62.6,44.5,27,11
3/3/2009,58.5,31.6,49,19
4/3/2009,58,30.3,51,9
5/3/2009,46.9,29.3,47,14
6/3/2009,42.2,25.6,73,23
7/3/2009,38.2,19.5,89,35
8/3/2009,47.7,26.7,43,10
9/3/2009,44.6,16.7,87,21
